,Name,Path,Class
16,Актау,HKR_dataset/img/10_7_410.jpg,1
57,Актау,HKR_dataset/img/10_7_228.jpg,1
163,Актау,HKR_dataset/img/11_40_54.jpg,1
876,Актау,HKR_dataset/img/13_22_193.jpg,1
991,Актау,HKR_dataset/img/11_40_52.jpg,1
1437,Актау,HKR_dataset/img/10_7_211.jpg,1
1556,Актау,HKR_dataset/img/10_7_131.jpg,1
1741,Актау,HKR_dataset/img/10_7_104.jpg,1
1928,Актау,HKR_dataset/img/13_22_197.jpg,1
1966,Актау,HKR_dataset/img/13_22_170.jpg,1
1972,Актау,HKR_dataset/img/10_7_113.jpg,1
2013,Актау,HKR_dataset/img/10_7_18.jpg,1
2251,Актау,HKR_dataset/img/10_7_138.jpg,1
2323,Актау,HKR_dataset/img/10_7_49.jpg,1
2550,Актау,HKR_dataset/img/10_7_257.jpg,1
2671,Актау,HKR_dataset/img/10_7_204.jpg,1
2674,Актау,HKR_dataset/img/11_40_2.jpg,1
2701,Актау,HKR_dataset/img/10_7_174.jpg,1
2811,Актау,HKR_dataset/img/10_7_384.jpg,1
3207,Актау,HKR_dataset/img/13_22_198.jpg,1
3243,Актау,HKR_dataset/img/10_7_220.jpg,1
3297,Актау,HKR_dataset/img/10_7_63.jpg,1
3393,Актау,HKR_dataset/img/10_7_65.jpg,1
3396,Актау,HKR_dataset/img/10_7_224_.jpg,1
3437,Актау,HKR_dataset/img/10_7_253.jpg,1
3524,Актау,HKR_dataset/img/13_22_201_.jpg,1
3709,Актау,HKR_dataset/img/10_7_97.jpg,1
3821,Актау,HKR_dataset/img/10_7_340.jpg,1
3859,Актау,HKR_dataset/img/10_7_5.jpg,1
4162,Актау,HKR_dataset/img/10_7_346.jpg,1
4321,Актау,HKR_dataset/img/10_7_91.jpg,1
4442,Актау,HKR_dataset/img/13_22_192_.jpg,1
4632,Актау,HKR_dataset/img/10_7_231.jpg,1
4755,Актау,HKR_dataset/img/10_7_429.jpg,1
4854,Актау,HKR_dataset/img/10_7_10.jpg,1
4949,Актау,HKR_dataset/img/10_7_139.jpg,1
5104,Актау,HKR_dataset/img/10_7_51.jpg,1
5452,Актау,HKR_dataset/img/13_22_148.jpg,1
5580,Актау,HKR_dataset/img/10_7_76.jpg,1
6103,Актау,HKR_dataset/img/10_7_321.jpg,1
6242,Актау,HKR_dataset/img/10_7_453.jpg,1
6599,Актау,HKR_dataset/img/10_7_265.jpg,1
6727,Актау,HKR_dataset/img/11_40_55.jpg,1
6759,Актау,HKR_dataset/img/10_7_426.jpg,1
6865,Актау,HKR_dataset/img/10_7_281.jpg,1
6893,Актау,HKR_dataset/img/10_7_398.jpg,1
6938,Актау,HKR_dataset/img/10_7_249.jpg,1
7364,Актау,HKR_dataset/img/13_22_173.jpg,1
7496,Актау,HKR_dataset/img/10_7_112.jpg,1
7695,Актау,HKR_dataset/img/10_7_178.jpg,1
7738,Актау,HKR_dataset/img/10_7_345.jpg,1
7807,Актау,HKR_dataset/img/10_7_95.jpg,1
8094,Актау,HKR_dataset/img/10_7_367.jpg,1
8099,Актау,HKR_dataset/img/13_22_147.jpg,1
8158,Актау,HKR_dataset/img/10_7_152.jpg,1
8388,Актау,HKR_dataset/img/10_7_235.jpg,1
8550,Актау,HKR_dataset/img/10_7_192.jpg,1
8973,Актау,HKR_dataset/img/10_7_89.jpg,1
9071,Актау,HKR_dataset/img/10_7_31.jpg,1
9650,Актау,HKR_dataset/img/11_40_44.jpg,1
9739,Актау,HKR_dataset/img/10_7_392.jpg,1
9816,Актау,HKR_dataset/img/10_7_69.jpg,1
9893,Актау,HKR_dataset/img/10_7_2.jpg,1
9926,Актау,HKR_dataset/img/10_7_403.jpg,1
9945,Актау,HKR_dataset/img/10_7_438.jpg,1
9947,Актау,HKR_dataset/img/10_7_240.jpg,1
10089,Актау,HKR_dataset/img/10_7_121.jpg,1
10158,Актау,HKR_dataset/img/10_7_382.jpg,1
10200,Актау,HKR_dataset/img/10_7_165.jpg,1
10499,Актау,HKR_dataset/img/10_7_64.jpg,1
10594,Актау,HKR_dataset/img/13_22_153.jpg,1
10798,Актау,HKR_dataset/img/13_22_201.jpg,1
10892,Актау,HKR_dataset/img/10_7_155.jpg,1
11148,Актау,HKR_dataset/img/13_22_158.jpg,1
11256,Актау,HKR_dataset/img/13_22_163.jpg,1
11310,Актау,HKR_dataset/img/10_7_169.jpg,1
11397,Актау,HKR_dataset/img/10_7_156.jpg,1
11459,Актау,HKR_dataset/img/13_22_150.jpg,1
11532,Актау,HKR_dataset/img/11_40_58.jpg,1
11574,Актау,HKR_dataset/img/10_7_37.jpg,1
11577,Актау,HKR_dataset/img/10_7_405.jpg,1
